27/08/12 17:06
Estatística do projeto

                           	Segmentos	Palavras	Caracteres (sem espaços)	Caracteres (incluindo espaços)	
Total de palavras          	     5089	   44851	                  242711	                        283094	
Restantes:                 	     4290	   42781	                  231239	                        270365	
Únicos:                    	     4268	   41260	                  222459	                        259929	
Segmentos únicos restantes:	     3674	   39486	                  212804	                        249108	


Estatística do arquivo individual:

Nome do arquivo                                                                                                                 	Total de segmentos 	Segmentos restantes	Segmentos únicos	Segmentos únicos restantes	Total de palavras	Palavras restantes para traduzir	Palavras únicas	Palavras únicas restantes	Total de caracteres (sem espaços)	Caracteres restantes (sem espaços)	Caracteres únicos (sem espaços)	Caracteres únicos restantes (sem espaços)	Total de caracteres (incluindo espaços)	Caracteres restantes (incluindo espaços)	Caracteres únicos (incluindo espaços)	Caracteres únicos restantes (incluindo espaços)	
org\sonar\l10n\findbugs\rules\findbugs\EC_ARRAY_AND_NONARRAY.html                                                               	                  4	                  4	               4	                         4	               75	                              75	             75	                       75	                              372	                               372	                            372	                                      372	                                    441	                                     441	                                  441	                                            441	
org\sonar\l10n\findbugs\rules\findbugs\EC_BAD_ARRAY_COMPARE.html                                                                	                  3	                  3	               2	                         2	               44	                              44	             33	                       33	                              235	                               235	                            157	                                      157	                                    274	                                     274	                                  187	                                            187	
org\sonar\l10n\findbugs\rules\findbugs\EC_INCOMPATIBLE_ARRAY_COMPARE.html                                                       	                  3	                  3	               3	                         3	               58	                              58	             58	                       58	                              280	                               280	                            280	                                      280	                                    334	                                     334	                                  334	                                            334	
org\sonar\l10n\findbugs\rules\findbugs\EC_NULL_ARG.html                                                                         	                  2	                  2	               2	                         2	               26	                              26	             26	                       26	                              135	                               135	                            135	                                      135	                                    158	                                     158	                                  158	                                            158	
org\sonar\l10n\findbugs\rules\findbugs\EC_UNRELATED_CLASS_AND_INTERFACE.html                                                    	                  3	                  3	               3	                         3	               98	                              98	             98	                       98	                              536	                               536	                            536	                                      536	                                    629	                                     629	                                  629	                                            629	
org\sonar\l10n\findbugs\rules\findbugs\EC_UNRELATED_INTERFACES.html                                                             	                  3	                  3	               1	                         1	               97	                              97	             31	                       31	                              544	                               544	                            169	                                      169	                                    636	                                     636	                                  198	                                            198	
org\sonar\l10n\findbugs\rules\findbugs\EC_UNRELATED_TYPES_USING_POINTER_EQUALITY.html                                           	                  2	                  2	               2	                         2	               28	                              28	             28	                       28	                              137	                               137	                            137	                                      137	                                    163	                                     163	                                  163	                                            163	
org\sonar\l10n\findbugs\rules\findbugs\EC_UNRELATED_TYPES.html                                                                  	                  3	                  3	               1	                         1	               82	                              82	             16	                       16	                              463	                               463	                             88	                                       88	                                    540	                                     540	                                  102	                                            102	
org\sonar\l10n\findbugs\rules\findbugs\EI_EXPOSE_REP.html                                                                       	                  2	                  2	               2	                         2	               63	                              63	             63	                       63	                              334	                               334	                            334	                                      334	                                    396	                                     396	                                  396	                                            396	
org\sonar\l10n\findbugs\rules\findbugs\EI_EXPOSE_REP2.html                                                                      	                  2	                  2	               2	                         2	               57	                              57	             57	                       57	                              307	                               307	                            307	                                      307	                                    363	                                     363	                                  363	                                            363	
org\sonar\l10n\findbugs\rules\findbugs\EI_EXPOSE_STATIC_REP2.html                                                               	                  3	                  3	               2	                         2	               47	                              47	             35	                       35	                              244	                               244	                            188	                                      188	                                    288	                                     288	                                  221	                                            221	
org\sonar\l10n\findbugs\rules\findbugs\EQ_ABSTRACT_SELF.html                                                                    	                  1	                  1	               1	                         1	               24	                              24	             24	                       24	                              150	                               150	                            150	                                      150	                                    174	                                     174	                                  174	                                            174	
org\sonar\l10n\findbugs\rules\findbugs\EQ_ALWAYS_FALSE.html                                                                     	                  7	                  7	               7	                         7	               96	                              96	             96	                       96	                              466	                               466	                            466	                                      466	                                    557	                                     557	                                  557	                                            557	
org\sonar\l10n\findbugs\rules\findbugs\EQ_ALWAYS_TRUE.html                                                                      	                  3	                  3	               3	                         3	               27	                              27	             27	                       27	                              132	                               132	                            132	                                      132	                                    156	                                     156	                                  156	                                            156	
org\sonar\l10n\findbugs\rules\findbugs\EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS.html                                       	                 10	                 10	              10	                        10	               99	                              99	             99	                       99	                              509	                               509	                            509	                                      509	                                    594	                                     594	                                  594	                                            594	
org\sonar\l10n\findbugs\rules\findbugs\EQ_COMPARETO_USE_OBJECT_EQUALS.html                                                      	                  8	                  8	               8	                         8	              121	                             121	            121	                      121	                              686	                               686	                            686	                                      686	                                    797	                                     797	                                  797	                                            797	
org\sonar\l10n\findbugs\rules\findbugs\EQ_COMPARING_CLASS_NAMES.html                                                            	                  3	                  3	               3	                         3	               52	                              52	             52	                       52	                              218	                               218	                            218	                                      218	                                    267	                                     267	                                  267	                                            267	
org\sonar\l10n\findbugs\rules\findbugs\EQ_DOESNT_OVERRIDE_EQUALS.html                                                           	                  4	                  4	               4	                         4	               88	                              88	             88	                       88	                              422	                               422	                            422	                                      422	                                    505	                                     505	                                  505	                                            505	
org\sonar\l10n\findbugs\rules\findbugs\EQ_DONT_DEFINE_EQUALS_FOR_ENUM.html                                                      	                  3	                  3	               3	                         3	               57	                              57	             57	                       57	                              315	                               315	                            315	                                      315	                                    369	                                     369	                                  369	                                            369	
org\sonar\l10n\findbugs\rules\findbugs\EQ_GETCLASS_AND_CLASS_CONSTANT.html                                                      	                  3	                  3	               3	                         3	               45	                              45	             45	                       45	                              222	                               222	                            222	                                      222	                                    266	                                     266	                                  266	                                            266	
org\sonar\l10n\findbugs\rules\findbugs\EQ_OTHER_NO_OBJECT.html                                                                  	                  2	                  2	               2	                         2	               40	                              40	             40	                       40	                              232	                               232	                            232	                                      232	                                    268	                                     268	                                  268	                                            268	
org\sonar\l10n\findbugs\rules\findbugs\EQ_OTHER_USE_OBJECT.html                                                                 	                  1	                  1	               1	                         1	               30	                              30	             30	                       30	                              176	                               176	                            176	                                      176	                                    204	                                     204	                                  204	                                            204	
org\sonar\l10n\findbugs\rules\findbugs\EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC.html                                                  	                  4	                  4	               4	                         4	               97	                              97	             97	                       97	                              471	                               471	                            471	                                      471	                                    563	                                     563	                                  563	                                            563	
org\sonar\l10n\findbugs\rules\findbugs\EQ_SELF_NO_OBJECT.html                                                                   	                  1	                  1	               0	                         0	               24	                              24	              0	                        0	                              150	                               150	                              0	                                        0	                                    174	                                     174	                                    0	                                              0	
org\sonar\l10n\findbugs\rules\findbugs\EQ_SELF_USE_OBJECT.html                                                                  	                  1	                  1	               1	                         1	               33	                              33	             33	                       33	                              188	                               188	                            188	                                      188	                                    219	                                     219	                                  219	                                            219	
org\sonar\l10n\findbugs\rules\findbugs\EQ_UNUSUAL.html                                                                          	                  2	                  2	               2	                         2	               41	                              41	             41	                       41	                              182	                               182	                            182	                                      182	                                    221	                                     221	                                  221	                                            221	
org\sonar\l10n\findbugs\rules\findbugs\ES_COMPARING_PARAMETER_STRING_WITH_EQ.html                                               	                  3	                  3	               3	                         3	               43	                              43	             43	                       43	                              263	                               263	                            263	                                      263	                                    304	                                     304	                                  304	                                            304	
org\sonar\l10n\findbugs\rules\findbugs\ES_COMPARING_STRINGS_WITH_EQ.html                                                        	                  3	                  3	               3	                         3	               49	                              49	             49	                       49	                              286	                               286	                            286	                                      286	                                    333	                                     333	                                  333	                                            333	
org\sonar\l10n\findbugs\rules\findbugs\ESync_EMPTY_SYNC.html                                                                    	                  3	                  3	               3	                         3	               38	                              38	             38	                       38	                              222	                               222	                            222	                                      222	                                    258	                                     258	                                  258	                                            258	
org\sonar\l10n\findbugs\rules\findbugs\FB_MISSING_EXPECTED_WARNING.html                                                         	                  1	                  1	               1	                         1	               16	                              16	             16	                       16	                              101	                               101	                            101	                                      101	                                    116	                                     116	                                  116	                                            116	
org\sonar\l10n\findbugs\rules\findbugs\FB_UNEXPECTED_WARNING.html                                                               	                  1	                  1	               1	                         1	               14	                              14	             14	                       14	                               85	                                85	                             85	                                       85	                                     98	                                      98	                                   98	                                             98	
org\sonar\l10n\findbugs\rules\findbugs\FE_FLOATING_POINT_EQUALITY.html                                                          	                  5	                  5	               5	                         5	               71	                              71	             71	                       71	                              408	                               408	                            408	                                      408	                                    477	                                     477	                                  477	                                            477	
org\sonar\l10n\findbugs\rules\findbugs\FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER.html                                                    	                  4	                  4	               4	                         4	               75	                              75	             75	                       75	                              339	                               339	                            339	                                      339	                                    410	                                     410	                                  410	                                            410	
org\sonar\l10n\findbugs\rules\findbugs\FI_EMPTY.html                                                                            	                  1	                  1	               1	                         1	               10	                              10	             10	                       10	                               55	                                55	                             55	                                       55	                                     64	                                      64	                                   64	                                             64	
org\sonar\l10n\findbugs\rules\findbugs\FI_EXPLICIT_INVOCATION.html                                                              	                  3	                  3	               3	                         3	               94	                              94	             94	                       94	                              449	                               449	                            449	                                      449	                                    541	                                     541	                                  541	                                            541	
org\sonar\l10n\findbugs\rules\findbugs\FI_FINALIZER_NULLS_FIELDS.html                                                           	                  2	                  2	               2	                         2	               27	                              27	             27	                       27	                              127	                               127	                            127	                                      127	                                    152	                                     152	                                  152	                                            152	
org\sonar\l10n\findbugs\rules\findbugs\FI_FINALIZER_ONLY_NULLS_FIELDS.html                                                      	                  3	                  3	               3	                         3	               33	                              33	             33	                       33	                              189	                               189	                            189	                                      189	                                    219	                                     219	                                  219	                                            219	
org\sonar\l10n\findbugs\rules\findbugs\FI_MISSING_SUPER_CALL.html                                                               	                  1	                  1	               1	                         1	               30	                              30	             30	                       30	                              161	                               161	                            161	                                      161	                                    192	                                     192	                                  192	                                            192	
org\sonar\l10n\findbugs\rules\findbugs\FI_NULLIFY_SUPER.html                                                                    	                  1	                  1	               1	                         1	               33	                              33	             33	                       33	                              187	                               187	                            187	                                      187	                                    221	                                     221	                                  221	                                            221	
org\sonar\l10n\findbugs\rules\findbugs\FI_PUBLIC_SHOULD_BE_PROTECTED.html                                                       	                  1	                  1	               1	                         1	               10	                              10	             10	                       10	                               60	                                60	                             60	                                       60	                                     69	                                      69	                                   69	                                             69	
org\sonar\l10n\findbugs\rules\findbugs\FI_USELESS.html                                                                          	                  1	                  1	               1	                         1	               18	                              18	             18	                       18	                              101	                               101	                            101	                                      101	                                    119	                                     119	                                  119	                                            119	
org\sonar\l10n\findbugs\rules\findbugs\FL_MATH_USING_FLOAT_PRECISION.html                                                       	                  4	                  4	               4	                         4	               25	                              25	             25	                       25	                              168	                               168	                            168	                                      168	                                    191	                                     191	                                  191	                                            191	
org\sonar\l10n\findbugs\rules\findbugs\GC_UNCHECKED_TYPE_IN_GENERIC_CALL.html                                                   	                  2	                  2	               2	                         2	               53	                              53	             53	                       53	                              273	                               273	                            273	                                      273	                                    324	                                     324	                                  324	                                            324	
org\sonar\l10n\findbugs\rules\findbugs\GC_UNRELATED_TYPES.html                                                                  	                  9	                  9	               9	                         9	              216	                             216	            216	                      216	                             1009	                              1009	                           1009	                                     1009	                                   1215	                                    1215	                                 1215	                                           1215	
org\sonar\l10n\findbugs\rules\findbugs\HE_EQUALS_NO_HASHCODE.html                                                               	                  1	                  1	               1	                         1	               24	                              24	             24	                       24	                              141	                               141	                            141	                                      141	                                    164	                                     164	                                  164	                                            164	
org\sonar\l10n\findbugs\rules\findbugs\HE_EQUALS_USE_HASHCODE.html                                                              	                  6	                  6	               5	                         5	               89	                              89	             89	                       89	                              501	                               501	                            500	                                      500	                                    587	                                     587	                                  586	                                            586	
org\sonar\l10n\findbugs\rules\findbugs\HE_HASHCODE_NO_EQUALS.html                                                               	                  1	                  1	               1	                         1	               25	                              25	             25	                       25	                              135	                               135	                            135	                                      135	                                    160	                                     160	                                  160	                                            160	
org\sonar\l10n\findbugs\rules\findbugs\HE_HASHCODE_USE_OBJECT_EQUALS.html                                                       	                  6	                  6	               1	                         1	              101	                             101	             63	                       63	                              598	                               598	                            386	                                      386	                                    698	                                     698	                                  450	                                            450	
org\sonar\l10n\findbugs\rules\findbugs\HE_INHERITS_EQUALS_USE_HASHCODE.html                                                     	                  2	                  2	               2	                         2	               76	                              76	             76	                       76	                              419	                               419	                            419	                                      419	                                    491	                                     491	                                  491	                                            491	
org\sonar\l10n\findbugs\rules\findbugs\HE_SIGNATURE_DECLARES_HASHING_OF_UNHASHABLE_CLASS.html                                   	                  2	                  2	               2	                         2	               51	                              51	             51	                       51	                              266	                               266	                            266	                                      266	                                    315	                                     315	                                  315	                                            315	
org\sonar\l10n\findbugs\rules\findbugs\HE_USE_OF_UNHASHABLE_CLASS.html                                                          	                  2	                  2	               2	                         2	               46	                              46	             46	                       46	                              226	                               226	                            226	                                      226	                                    269	                                     269	                                  269	                                            269	
org\sonar\l10n\findbugs\rules\findbugs\HRS_REQUEST_PARAMETER_TO_COOKIE.html                                                     	                  7	                  7	               7	                         7	               87	                              87	             87	                       87	                              544	                               544	                            544	                                      544	                                    618	                                     618	                                  618	                                            618	
org\sonar\l10n\findbugs\rules\findbugs\HRS_REQUEST_PARAMETER_TO_HTTP_HEADER.html                                                	                  6	                  6	               1	                         1	               78	                              78	             19	                       19	                              503	                               503	                            102	                                      102	                                    569	                                     569	                                  120	                                            120	
org\sonar\l10n\findbugs\rules\findbugs\HSC_HUGE_SHARED_STRING_CONSTANT.html                                                     	                  4	                  4	               4	                         4	               78	                              78	             78	                       78	                              388	                               388	                            388	                                      388	                                    457	                                     457	                                  457	                                            457	
org\sonar\l10n\findbugs\rules\findbugs\IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD.html                                	                  3	                  3	               3	                         3	               96	                              96	             96	                       96	                              422	                               422	                            422	                                      422	                                    514	                                     514	                                  514	                                            514	
org\sonar\l10n\findbugs\rules\findbugs\IC_INIT_CIRCULARITY.html                                                                 	                  1	                  1	               1	                         1	               27	                              27	             27	                       27	                              145	                               145	                            145	                                      145	                                    172	                                     172	                                  172	                                            172	
org\sonar\l10n\findbugs\rules\findbugs\IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION.html                                   	                  4	                  4	               4	                         4	               55	                              55	             55	                       55	                              411	                               411	                            411	                                      411	                                    463	                                     463	                                  463	                                            463	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_BAD_SHIFT_AMOUNT.html                                                              	                  3	                  3	               3	                         3	               48	                              48	             48	                       48	                              199	                               199	                            199	                                      199	                                    243	                                     243	                                  243	                                            243	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_IDIV_CAST_TO_DOUBLE.html                                                           	                  6	                  6	               6	                         6	               91	                              91	             91	                       91	                              432	                               432	                            432	                                      432	                                    522	                                     522	                                  522	                                            522	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_INT_2_LONG_AS_INSTANT.html                                                         	                  8	                  8	               8	                         8	              162	                             162	            162	                      162	                              790	                               790	                            790	                                      790	                                    938	                                     938	                                  938	                                            938	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_INT_CAST_TO_DOUBLE_PASSED_TO_CEIL.html                                             	                  3	                  3	               3	                         3	               81	                              81	             81	                       81	                              401	                               401	                            401	                                      401	                                    479	                                     479	                                  479	                                            479	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_INT_CAST_TO_FLOAT_PASSED_TO_ROUND.html                                             	                  3	                  3	               3	                         3	               78	                              78	             78	                       78	                              384	                               384	                            384	                                      384	                                    458	                                     458	                                  458	                                            458	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_INTEGER_MULTIPLY_CAST_TO_LONG.html                                                 	                  7	                  7	               7	                         7	               75	                              75	             75	                       75	                              456	                               456	                            456	                                      456	                                    520	                                     520	                                  520	                                            520	
org\sonar\l10n\findbugs\rules\findbugs\ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT.html                                             	                  2	                  2	               2	                         2	               50	                              50	             50	                       50	                              229	                               229	                            229	                                      229	                                    277	                                     277	                                  277	                                            277	
org\sonar\l10n\findbugs\rules\findbugs\IJU_ASSERT_METHOD_INVOKED_FROM_RUN_METHOD.html                                           	                  3	                  3	               3	                         3	               48	                              48	             48	                       48	                              235	                               235	                            235	                                      235	                                    280	                                     280	                                  280	                                            280	
org\sonar\l10n\findbugs\rules\findbugs\IJU_BAD_SUITE_METHOD.html                                                                	                  5	                  5	               4	                         4	               29	                              29	             28	                       28	                              178	                               178	                            176	                                      176	                                    202	                                     202	                                  200	                                            200	
org\sonar\l10n\findbugs\rules\findbugs\IJU_NO_TESTS.html                                                                        	                  1	                  1	               1	                         1	               12	                              12	             12	                       12	                               55	                                55	                             55	                                       55	                                     66	                                      66	                                   66	                                             66	
org\sonar\l10n\findbugs\rules\findbugs\IJU_SETUP_NO_SUPER.html                                                                  	                  2	                  2	               2	                         2	               18	                              18	             18	                       18	                               98	                                98	                             98	                                       98	                                    114	                                     114	                                  114	                                            114	
org\sonar\l10n\findbugs\rules\findbugs\IJU_SUITE_NOT_STATIC.html                                                                	                  2	                  2	               2	                         2	               21	                              21	             21	                       21	                              104	                               104	                            104	                                      104	                                    123	                                     123	                                  123	                                            123	
org\sonar\l10n\findbugs\rules\findbugs\IJU_TEARDOWN_NO_SUPER.html                                                               	                  2	                  2	               2	                         2	               18	                              18	             18	                       18	                              107	                               107	                            107	                                      107	                                    123	                                     123	                                  123	                                            123	
org\sonar\l10n\findbugs\rules\findbugs\IL_CONTAINER_ADDED_TO_ITSELF.html                                                        	                  2	                  2	               2	                         2	               19	                              19	             19	                       19	                               99	                                99	                             99	                                       99	                                    116	                                     116	                                  116	                                            116	
org\sonar\l10n\findbugs\rules\findbugs\IL_INFINITE_LOOP.html                                                                    	                  1	                  1	               1	                         1	               17	                              17	             17	                       17	                               80	                                80	                             80	                                       80	                                     96	                                      96	                                   96	                                             96	
org\sonar\l10n\findbugs\rules\findbugs\IL_INFINITE_RECURSIVE_LOOP.html                                                          	                  2	                  2	               2	                         2	               21	                              21	             21	                       21	                              116	                               116	                            116	                                      116	                                    135	                                     135	                                  135	                                            135	
